              state  reads_raw  reads_passed_filter  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
p_021s_01         7    2409622              2374539          231295             99510    0.014657   0.003349          97633             42388
p_021s_05         7     994788               980530          198325             38033    0.019505   0.004413          36623             13577
p_021s_08         7    2164095              2135657          188718             86200    0.013595   0.003143          84867             35532
p_021s_09         7    2368302              2336074          214193             81898    0.012588   0.002629          80643             37378
p_021s_12         7    1205297              1190981          169229             51432    0.015700   0.003752          50290             19560
p_021s_14         7    2888784              2856297          267665            119065    0.015882   0.003556         116856             50480
p_023s_03         7     925287               915474          184927             32937    0.020257   0.005175          31535             10897
p_024s_01         7    2101215              2078910          185813             86516    0.013743   0.002793          85215             39417
p_024s_06         7    1108735              1097316          182324             42852    0.017836   0.004359          41399             15987
p_024s_11         7    2381123              2349889          198140             97133    0.013876   0.002790          95684             45312
p_024s_12         7    1952895              1924644          199961             86630    0.014355   0.003350          85167             37256
p_025s_13         7    2332638              2287935          173392             96828    0.011375   0.002727          95678             40081
p_026s_04         7    3063620              3023378          252670            119856    0.015271   0.003329         117752             52142
p_026s_05         7     859051               849468          173172             33816    0.018356   0.004736          32474             12067
p_026s_12         7    1234414              1231735          140456             45708    0.012387   0.002845          44633             17244
p_026s_14         7     724774               721660          115612             27962    0.014087   0.003197          27180              9963
p_027s_01         7     994059               990825          142303             36231    0.014588   0.003264          35157             13143
p_027s_03         7     592526               591090          107512             20689    0.015663   0.003604          19963              7339
p_027s_05         7    2309191              2283992          246043             95791    0.016297   0.003618          93723             39694
p_027s_06         7    1124358              1121514          119270             40151    0.012406   0.002638          39297             15393
p_027s_12         7     772410               759392          167552             28546    0.019157   0.005554          27402              9759
p_030s_01         7    1429594              1411807          211660             62346    0.017136   0.003993          60729             25523
p_030s_02         7    3450272              3402984          276409            132094    0.015854   0.003171         129870             56761
p_030s_04         7     903674               893007          196168             34199    0.017826   0.005145          32800             12543
p_030s_05         7    1495131              1465800          172045             61987    0.012897   0.003355          60909             26267
p_030s_06         7     704084               692919          161511             24231    0.020471   0.005893          23231              7574
p_030s_07         7    2449023              2425596          251876            111933    0.016283   0.003649         109800             47419
p_030s_11         7    2744770              2725796          303391            126249    0.016318   0.003557         123526             51426
p_032s_05         7    2498598              2469931          241096            112108    0.015327   0.003447         110117             47691
p_1027s_02        7     859915               850212          155604             38644    0.017165   0.004245          37584             14867
p_1027s_04        7    2050189              2028462          195254             94814    0.013166   0.003156          93334             39541
p_1027s_08        7     754990               743677          144774             30787    0.016996   0.004697          29850             10941
p_1027s_09        7    1420295              1405743          198372             66593    0.015777   0.003765          65102             26341
p_1027s_10        7    2182871              2156692          192129             95070    0.011674   0.002742          93825             41541
p_1027s_12        7    1525466              1514158          201411             66168    0.015945   0.003664          64513             26176
p_1027s_18        7     572527               566999          142497             20173    0.020048   0.005220          19134              6083
p_1027s_20        7     701657               700025           90699             29131    0.011350   0.002367          28577             11026
